# t,tx,ty,tz,rx,ry,rz
1.763579368570238113e+09,-1.721754035865631638e-01,8.011815109491925158e-02,1.025771147416331130e+00,2.318153341926215472e+00,-2.029385741078804539e+00,1.693317334548462977e-02
1.763579368620239019e+09,-1.659573430757765589e-01,7.907635128961512661e-02,1.021865602853754051e+00,2.319347875223610078e+00,-2.019494785321736430e+00,7.848706364036259903e-03
1.763579368670210361e+09,-1.595460651388702356e-01,7.360320043559649694e-02,1.017312646847733371e+00,2.322652762886561195e+00,-2.005923612208313500e+00,-1.355765034567697107e-03
1.763579368720150948e+09,-1.547521255620480096e-01,6.559314171455460363e-02,1.011734888981598246e+00,2.323633359211905614e+00,-1.994379655460326362e+00,-9.204321454304942307e-03
1.763579368770228863e+09,-1.491510087196563639e-01,5.429024885086254637e-02,1.006236041739688947e+00,2.328790081823483682e+00,-1.981829332810956190e+00,-1.398170915068135990e-02
1.763579368820343494e+09,-1.422241416513000956e-01,3.566134944296004555e-02,9.987085931137471562e-01,2.333605515584840528e+00,-1.967363086959038831e+00,-1.921404030474132413e-02
1.763579368870625257e+09,-1.376300825061126942e-01,1.454120595892617607e-02,9.896923725665150995e-01,2.334028757402620613e+00,-1.957931353661171325e+00,-1.972181766462778249e-02
1.763579368920689344e+09,-1.316501630030534609e-01,-5.058823666779129792e-03,9.813770984304287515e-01,2.333692142778767131e+00,-1.955473749870087374e+00,-1.772843708278027883e-02
1.763579368970353603e+09,-1.245904831661744511e-01,-2.181956126866638895e-02,9.718951212606288248e-01,2.333481206046057466e+00,-1.951656588209021104e+00,-1.752920351545183414e-02
1.763579369020237446e+09,-1.145858041899434770e-01,-3.226267164136135263e-02,9.612037561623451021e-01,2.331959357262508803e+00,-1.943086494254712804e+00,-2.228057778416096466e-02
1.763579369070135593e+09,-1.026067068890082479e-01,-3.486300008021907260e-02,9.506307957873613157e-01,2.327126566304431154e+00,-1.935390055601074799e+00,-2.694375200380516588e-02
1.763579369120148182e+09,-8.827241442239409930e-02,-3.754180181788244197e-02,9.396300944151569912e-01,2.322045805320627210e+00,-1.926148581238311897e+00,-2.815987778114815293e-02
1.763579369170307159e+09,-7.496852422870668720e-02,-4.335749986939681222e-02,9.289159812063181310e-01,2.313696208103248164e+00,-1.922843183225458441e+00,-2.985839378869441924e-02
1.763579369220416546e+09,-6.935564983776361381e-02,-4.688278833085718356e-02,9.189850179678659137e-01,2.308921106724693750e+00,-1.918815304038207437e+00,-3.514769103047193227e-02
1.763579369270500422e+09,-6.717449415517307010e-02,-4.270057619651342756e-02,9.106090514540622349e-01,2.309455403802211926e+00,-1.908946826008002251e+00,-4.800834109424669677e-02
1.763579369320396900e+09,-6.534201601687317229e-02,-3.400599255769214124e-02,9.033842860317312651e-01,2.310811258713714178e+00,-1.897388744388310622e+00,-6.235340629686739189e-02
1.763579369370123148e+09,-6.448712925464013257e-02,-2.986480090449336947e-02,8.967101905900478620e-01,2.306971849119763718e+00,-1.895815161492248491e+00,-7.499824756412618032e-02
1.763579369420495987e+09,-6.753549536084967053e-02,-3.516610677388237044e-02,8.884228416589291522e-01,2.301063855990995055e+00,-1.898688846813168185e+00,-8.501858463257387644e-02
1.763579369470628500e+09,-7.054534250257932237e-02,-4.479154572251646538e-02,8.806732941249210134e-01,2.300596840588115199e+00,-1.900645650207558601e+00,-9.370557388303137059e-02
1.763579369520563126e+09,-7.466479917070679984e-02,-5.458233412465635787e-02,8.730552204633638125e-01,2.302581384318364233e+00,-1.899082489462022183e+00,-1.012198067316243399e-01
1.763579369570714951e+09,-7.894280960829107296e-02,-6.008657336863108822e-02,8.663369408852105158e-01,2.305257117262658362e+00,-1.895449160051746462e+00,-1.080454156210797351e-01
1.763579369620879173e+09,-8.062343587698467262e-02,-6.481896052433089306e-02,8.591353073952981978e-01,2.306191606100524982e+00,-1.887100097897655093e+00,-1.199426970047943047e-01
1.763579369671507359e+09,-8.147794967421986834e-02,-6.569386862344810118e-02,8.527587667447589226e-01,2.305730514216400184e+00,-1.880818560655349136e+00,-1.306590174033374074e-01
1.763579369721853733e+09,-7.919055143797504304e-02,-6.530676662586072656e-02,8.473687692975140351e-01,2.301879718543005993e+00,-1.878026658589661446e+00,-1.445288747161286858e-01
1.763579369771796703e+09,-7.492976613176584311e-02,-6.674351645102340191e-02,8.412010573487306297e-01,2.294620220755666740e+00,-1.875013429565933754e+00,-1.594859506842546681e-01
