# t,tx,ty,tz,rx,ry,rz
1.763579366183681011e+09,1.779408536064770452e-01,-3.743099142148421099e-01,1.531441059643297686e+00,2.009961719695630311e+00,-2.337442633358118638e+00,-3.746845067246425826e-02
1.763579366197370052e+09,1.722760074630913241e-01,-3.689795070895864337e-01,1.526849063830244324e+00,2.012654115494953544e+00,-2.336907050877396141e+00,-4.012978307638638553e-02
1.763579366211058855e+09,1.663532018165564674e-01,-3.643790120172221147e-01,1.522202582826108319e+00,2.015449092745221105e+00,-2.336299867228035065e+00,-4.280962086618277790e-02
1.763579366224747658e+09,1.600846616528448507e-01,-3.604613970385560640e-01,1.517648291084103818e+00,2.018309033152772880e+00,-2.335581158759473475e+00,-4.530461505131996164e-02
1.763579366238436699e+09,1.535023914534541234e-01,-3.571536372755481081e-01,1.513286383398967372e+00,2.021236609610752133e+00,-2.334733085658579288e+00,-4.749996009960257698e-02
1.763579366252125502e+09,1.468405819760302822e-01,-3.543458758868369696e-01,1.509133598325594683e+00,2.024302932000733968e+00,-2.333773180957344540e+00,-4.943417739729093902e-02
1.763579366265814543e+09,1.403442734288826155e-01,-3.519255506483335294e-01,1.505201488918299635e+00,2.027582969936135626e+00,-2.332720843339624928e+00,-5.115482310691091272e-02
1.763579366279503345e+09,1.342568923679860471e-01,-3.497840619362433956e-01,1.501495726573761846e+00,2.031149943761960674e+00,-2.331593098383199170e+00,-5.271436683153741393e-02
1.763579366293192148e+09,1.287319219780406476e-01,-3.478706255097643307e-01,1.497969592707613540e+00,2.035035528944100669e+00,-2.330364016845743347e+00,-5.418199874070890598e-02
1.763579366306881189e+09,1.238675342351339831e-01,-3.461707291702268430e-01,1.494542362256099599e+00,2.039245466937171347e+00,-2.328981069134496096e+00,-5.563878285866003665e-02
1.763579366320569992e+09,1.197632936139415988e-01,-3.446710293743094899e-01,1.491132454680102359e+00,2.043785482373080775e+00,-2.327390892401575595e+00,-5.716729347896633284e-02
1.763579366334259033e+09,1.164969188798700983e-01,-3.433340336255380487e-01,1.487679004166030605e+00,2.048662238663664592e+00,-2.325554239084713259e+00,-5.881714288672062335e-02
1.763579366347947836e+09,1.140838625960423625e-01,-3.420394104846966044e-01,1.484190499815514874e+00,2.053889898200343733e+00,-2.323478505638163938e+00,-6.053104602020571712e-02
1.763579366361636639e+09,1.125165201393588388e-01,-3.406473105564923887e-01,1.480693987916321230e+00,2.059480637207625975e+00,-2.321183873010379539e+00,-6.222145141147524677e-02
1.763579366375325680e+09,1.117941814019505070e-01,-3.390148251885337638e-01,1.477216284985345407e+00,2.065451431983192698e+00,-2.318690037780251956e+00,-6.380277089845914906e-02
1.763579366389014482e+09,1.118536581114062400e-01,-3.370648075305071600e-01,1.473762344642153499e+00,2.071757488315758344e+00,-2.316005599801256309e+00,-6.520308149364779926e-02
1.763579366402703524e+09,1.125643408579420496e-01,-3.347959627025704488e-01,1.470309720710227142e+00,2.078285447994186352e+00,-2.313124515049222119e+00,-6.637003457035879628e-02
1.763579366416392326e+09,1.137838967358432846e-01,-3.322181523249622681e-01,1.466832852124762665e+00,2.084911005216636859e+00,-2.310039598465937871e+00,-6.725232863352809121e-02
1.763579366430081129e+09,1.153863206101027328e-01,-3.293299702342302737e-01,1.463314238881114449e+00,2.091522146258808945e+00,-2.306745490448769420e+00,-6.780015855809552738e-02
1.763579366443770170e+09,1.173304538282769482e-01,-3.260774082026480780e-01,1.459798683604021985e+00,2.098069713673743841e+00,-2.303255345564227063e+00,-6.796852871429008569e-02
1.763579366457458973e+09,1.196343137742686830e-01,-3.223678298452592461e-01,1.456366337851167536e+00,2.104546790273726486e+00,-2.299591238733415643e+00,-6.771802377212972346e-02
1.763579366471148014e+09,1.223097619408841513e-01,-3.181143725771549691e-01,1.453101608122513433e+00,2.110944067956698866e+00,-2.295778420881641413e+00,-6.700608450408049310e-02
1.763579366484836817e+09,1.253711796436674242e-01,-3.132111598341652536e-01,1.450036191158751819e+00,2.117242000825255932e+00,-2.291812673914460863e+00,-6.580463946774371686e-02
1.763579366498525620e+09,1.288242847059445362e-01,-3.075112413147816359e-01,1.447071948259847973e+00,2.123388205331975698e+00,-2.287618266914053233e+00,-6.411308105121002465e-02
1.763579366512214661e+09,1.326760083421042458e-01,-3.008571465835975789e-01,1.444073166058826629e+00,2.129322868341722685e+00,-2.283098949126039834e+00,-6.194253511228574316e-02
1.763579366525903463e+09,1.369287124002090683e-01,-2.930836929399716628e-01,1.440912551990249257e+00,2.134985229572730514e+00,-2.278161967268952370e+00,-5.929209524133737669e-02
